assembly_accession,organism_name,taxid,assembly_level,domain,phylum,class,order,family,genus,species,in_train,fna_path,gtf_path,genome_length,sequence_headers,num_sequences,category
GCF_013234275.1,Buttiauxella_agrestis,82977,Complete Genome,bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Buttiauxella,Buttiauxella agrestis,False,/cs/usr/stavperez/sp/genomes_new/genomes_from_ncbi_unique_genus/GCF_013234275.1/GCF_013234275.1_genomic.fna.gz,/cs/usr/stavperez/sp/genomes_new/genomes_from_ncbi_unique_genus/GCF_013234275.1/GCF_013234275.1_annotation.gtf.gz,4566254.0,NZ_AP023184.1,1.0,bacteria
GCF_018336595.1,Helcococcus_kunzii,40091,Chromosome,bacteria,Bacillota,Tissierellia,Tissierellales,Peptoniphilaceae,Helcococcus,Helcococcus kunzii,False,/cs/usr/stavperez/sp/genomes_new/genomes_from_ncbi_unique_genus/GCF_018336595.1/GCF_018336595.1_genomic.fna.gz,/cs/usr/stavperez/sp/genomes_new/genomes_from_ncbi_unique_genus/GCF_018336595.1/GCF_018336595.1_annotation.gtf.gz,2062793.0,NZ_CP048105.1,1.0,bacteria
GCF_000754265.1,Candidatus_Palibaumannia_cicadellinicola,186490,Complete Genome,bacteria,Pseudomonadota,Gammaproteobacteria,,,Candidatus Palibaumannia,Candidatus Palibaumannia cicadellinicola,False,/cs/usr/stavperez/sp/genomes_new/genomes_from_ncbi_unique_genus/GCF_000754265.1/GCF_000754265.1_genomic.fna.gz,/cs/usr/stavperez/sp/genomes_new/genomes_from_ncbi_unique_genus/GCF_000754265.1/GCF_000754265.1_annotation.gtf.gz,759425.0,NZ_CP008985.1,1.0,bacteria
GCF_002142475.1,Leptolyngbya_boryana_IAM_M-101,411966,Complete Genome,bacteria,Cyanobacteriota,Cyanophyceae,Leptolyngbyales,Leptolyngbyaceae,Leptolyngbya,Leptolyngbya boryana IAM M-101,False,/cs/usr/stavperez/sp/genomes_new/genomes_from_ncbi_unique_genus/GCF_002142475.1/GCF_002142475.1_genomic.fna.gz,/cs/usr/stavperez/sp/genomes_new/genomes_from_ncbi_unique_genus/GCF_002142475.1/GCF_002142475.1_annotation.gtf.gz,6803468.0,NZ_AP014638.1;NZ_AP014639.1;NZ_AP014640.1;NZ_AP014641.1,4.0,bacteria
GCF_042140145.1,Oceanicaulis_alexandrii,153233,Complete Genome,bacteria,Pseudomonadota,Alphaproteobacteria,Maricaulales,Maricaulaceae,Oceanicaulis,Oceanicaulis alexandrii,False,/cs/usr/stavperez/sp/genomes_new/genomes_from_ncbi_unique_genus/GCF_042140145.1/GCF_042140145.1_genomic.fna.gz,/cs/usr/stavperez/sp/genomes_new/genomes_from_ncbi_unique_genus/GCF_042140145.1/GCF_042140145.1_annotation.gtf.gz,2992841.0,NZ_CP159475.1,1.0,bacteria
GCF_008693345.1,Orientia_tsutsugamushi,784,Complete Genome,bacteria,Pseudomonadota,Alphaproteobacteria,Rickettsiales,Rickettsiaceae,Orientia,Orientia tsutsugamushi,False,/cs/usr/stavperez/sp/genomes_new/genomes_from_ncbi_unique_genus/GCF_008693345.1/GCF_008693345.1_genomic.fna.gz,/cs/usr/stavperez/sp/genomes_new/genomes_from_ncbi_unique_genus/GCF_008693345.1/GCF_008693345.1_annotation.gtf.gz,1972387.0,NZ_CP044031.1,1.0,bacteria
GCF_008935055.1,Pseudobutyrivibrio_xylanivorans,185007,Complete Genome,bacteria,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Pseudobutyrivibrio,Pseudobutyrivibrio xylanivorans,False,/cs/usr/stavperez/sp/genomes_new/genomes_from_ncbi_unique_genus/GCF_008935055.1/GCF_008935055.1_genomic.fna.gz,/cs/usr/stavperez/sp/genomes_new/genomes_from_ncbi_unique_genus/GCF_008935055.1/GCF_008935055.1_annotation.gtf.gz,3584491.0,NZ_CP043030.1;NZ_CP043028.1;NZ_CP043029.1,3.0,bacteria
GCF_000013565.1,Jannaschia_sp._CCS1,290400,Complete Genome,bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Roseobacteraceae,Jannaschia,Jannaschia sp. CCS1,False,/cs/usr/stavperez/sp/genomes_new/genomes_from_ncbi_unique_genus/GCF_000013565.1/GCF_000013565.1_genomic.fna.gz,/cs/usr/stavperez/sp/genomes_new/genomes_from_ncbi_unique_genus/GCF_000013565.1/GCF_000013565.1_annotation.gtf.gz,4404049.0,NC_007802.1;NC_007801.1,2.0,bacteria
GCF_000754275.1,Pasteurella_multocida,747,Complete Genome,bacteria,Pseudomonadota,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Pasteurella,Pasteurella multocida,False,/cs/usr/stavperez/sp/genomes_new/genomes_from_ncbi_unique_genus/GCF_000754275.1/GCF_000754275.1_genomic.fna.gz,/cs/usr/stavperez/sp/genomes_new/genomes_from_ncbi_unique_genus/GCF_000754275.1/GCF_000754275.1_annotation.gtf.gz,2271840.0,NZ_CP008918.1,1.0,bacteria
GCF_016127855.1,Actinomyces_naeslundii,1655,Complete Genome,bacteria,Actinomycetota,Actinomycetes,Actinomycetales,Actinomycetaceae,Actinomyces,Actinomyces naeslundii,False,/cs/usr/stavperez/sp/genomes_new/genomes_from_ncbi_unique_genus/GCF_016127855.1/GCF_016127855.1_genomic.fna.gz,/cs/usr/stavperez/sp/genomes_new/genomes_from_ncbi_unique_genus/GCF_016127855.1/GCF_016127855.1_annotation.gtf.gz,3152123.0,NZ_CP066049.1,1.0,bacteria
GCF_900104725.1,Actinoplanes_derwentensis,113562,Chromosome,bacteria,Actinomycetota,Actinomycetes,Micromonosporales,Micromonosporaceae,Actinoplanes,Actinoplanes derwentensis,False,/cs/usr/stavperez/sp/genomes_new/genomes_from_ncbi_unique_genus/GCF_900104725.1/GCF_900104725.1_genomic.fna.gz,/cs/usr/stavperez/sp/genomes_new/genomes_from_ncbi_unique_genus/GCF_900104725.1/GCF_900104725.1_annotation.gtf.gz,10654181.0,NZ_LT629758.1,1.0,bacteria
GCF_001678945.1,Phaeobacter_gallaeciensis,60890,Complete Genome,bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Roseobacteraceae,Phaeobacter,Phaeobacter gallaeciensis,False,/cs/usr/stavperez/sp/genomes_new/genomes_from_ncbi_unique_genus/GCF_001678945.1/GCF_001678945.1_genomic.fna.gz,/cs/usr/stavperez/sp/genomes_new/genomes_from_ncbi_unique_genus/GCF_001678945.1/GCF_001678945.1_annotation.gtf.gz,4061725.0,NZ_CP015124.1,1.0,bacteria
GCF_008694105.1,Schleiferilactobacillus_harbinensis,304207,Complete Genome,bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Schleiferilactobacillus,Schleiferilactobacillus harbinensis,False,/cs/usr/stavperez/sp/genomes_new/genomes_from_ncbi_unique_genus/GCF_008694105.1/GCF_008694105.1_genomic.fna.gz,/cs/usr/stavperez/sp/genomes_new/genomes_from_ncbi_unique_genus/GCF_008694105.1/GCF_008694105.1_annotation.gtf.gz,3290626.0,NZ_CP041364.1,1.0,bacteria
GCF_000389985.1,Nocardioides_sp._CF8,110319,Chromosome,bacteria,Actinomycetota,Actinomycetes,Propionibacteriales,Nocardioidaceae,Nocardioides,Nocardioides sp. CF8,False,/cs/usr/stavperez/sp/genomes_new/genomes_from_ncbi_unique_genus/GCF_000389985.1/GCF_000389985.1_genomic.fna.gz,/cs/usr/stavperez/sp/genomes_new/genomes_from_ncbi_unique_genus/GCF_000389985.1/GCF_000389985.1_annotation.gtf.gz,4219246.0,NZ_CM001852.1,1.0,bacteria
GCF_042926695.1,Lonepinella_koalarum,53417,Complete Genome,bacteria,Pseudomonadota,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Lonepinella,Lonepinella koalarum,False,/cs/usr/stavperez/sp/genomes_new/genomes_from_ncbi_unique_genus/GCF_042926695.1/GCF_042926695.1_genomic.fna.gz,/cs/usr/stavperez/sp/genomes_new/genomes_from_ncbi_unique_genus/GCF_042926695.1/GCF_042926695.1_annotation.gtf.gz,2550855.0,NZ_CP170642.1,1.0,bacteria
GCF_002220155.1,Azotobacter_chroococcum,353,Complete Genome,bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Azotobacter,Azotobacter chroococcum,False,/cs/usr/stavperez/sp/genomes_new/genomes_from_ncbi_unique_genus/GCF_002220155.1/GCF_002220155.1_genomic.fna.gz,/cs/usr/stavperez/sp/genomes_new/genomes_from_ncbi_unique_genus/GCF_002220155.1/GCF_002220155.1_annotation.gtf.gz,5023055.0,NZ_CP011835.1;NZ_CP011837.1;NZ_CP011836.1;NZ_CP011838.1,4.0,bacteria
GCF_900095415.1,uncultured_Pleomorphomonas_sp.,442121,Chromosome,bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Pleomorphomonadaceae,Pleomorphomonas,uncultured Pleomorphomonas sp.,False,/cs/usr/stavperez/sp/genomes_new/genomes_from_ncbi_unique_genus/GCF_900095415.1/GCF_900095415.1_genomic.fna.gz,/cs/usr/stavperez/sp/genomes_new/genomes_from_ncbi_unique_genus/GCF_900095415.1/GCF_900095415.1_annotation.gtf.gz,5889200.0,NZ_LT608334.1,1.0,bacteria
GCF_001307545.1,Mycolicibacterium_fortuitum,1766,Complete Genome,bacteria,Actinomycetota,Actinomycetes,Mycobacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium fortuitum,False,/cs/usr/stavperez/sp/genomes_new/genomes_from_ncbi_unique_genus/GCF_001307545.1/GCF_001307545.1_genomic.fna.gz,/cs/usr/stavperez/sp/genomes_new/genomes_from_ncbi_unique_genus/GCF_001307545.1/GCF_001307545.1_annotation.gtf.gz,6254616.0,NZ_CP011269.1,1.0,bacteria
GCF_029906505.1,Saccharophagus_degradans,86304,Complete Genome,bacteria,Pseudomonadota,Gammaproteobacteria,Cellvibrionales,Cellvibrionaceae,Saccharophagus,Saccharophagus degradans,False,/cs/usr/stavperez/sp/genomes_new/genomes_from_ncbi_unique_genus/GCF_029906505.1/GCF_029906505.1_genomic.fna.gz,/cs/usr/stavperez/sp/genomes_new/genomes_from_ncbi_unique_genus/GCF_029906505.1/GCF_029906505.1_annotation.gtf.gz,5178381.0,NZ_CP123764.1,1.0,bacteria
GCF_001465835.2,Planococcus_kocurii,1374,Complete Genome,bacteria,Bacillota,Bacilli,Bacillales,Caryophanaceae,Planococcus,Planococcus kocurii,False,/cs/usr/stavperez/sp/genomes_new/genomes_from_ncbi_unique_genus/GCF_001465835.2/GCF_001465835.2_genomic.fna.gz,/cs/usr/stavperez/sp/genomes_new/genomes_from_ncbi_unique_genus/GCF_001465835.2/GCF_001465835.2_annotation.gtf.gz,3485580.0,NZ_CP013661.2;NZ_CP013660.2,2.0,bacteria
GCF_002872415.1,Bacteriovorax_stolpii,960,Complete Genome,bacteria,Bdellovibrionota,Bacteriovoracia,Bacteriovoracales,Bacteriovoracaceae,Bacteriovorax,Bacteriovorax stolpii,False,/cs/usr/stavperez/sp/genomes_new/genomes_from_ncbi_unique_genus/GCF_002872415.1/GCF_002872415.1_genomic.fna.gz,/cs/usr/stavperez/sp/genomes_new/genomes_from_ncbi_unique_genus/GCF_002872415.1/GCF_002872415.1_annotation.gtf.gz,3810309.0,NZ_CP025704.1,1.0,bacteria
GCF_000963635.1,Mannheimia_haemolytica,75985,Complete Genome,bacteria,Pseudomonadota,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Mannheimia,Mannheimia haemolytica,False,/cs/usr/stavperez/sp/genomes_new/genomes_from_ncbi_unique_genus/GCF_000963635.1/GCF_000963635.1_genomic.fna.gz,/cs/usr/stavperez/sp/genomes_new/genomes_from_ncbi_unique_genus/GCF_000963635.1/GCF_000963635.1_annotation.gtf.gz,2705355.0,NZ_CP011098.1,1.0,bacteria
GCF_000015725.1,Methylibium_petroleiphilum_PM1,420662,Complete Genome,bacteria,Pseudomonadota,Betaproteobacteria,Burkholderiales,Sphaerotilaceae,Methylibium,Methylibium petroleiphilum PM1,False,/cs/usr/stavperez/sp/genomes_new/genomes_from_ncbi_unique_genus/GCF_000015725.1/GCF_000015725.1_genomic.fna.gz,/cs/usr/stavperez/sp/genomes_new/genomes_from_ncbi_unique_genus/GCF_000015725.1/GCF_000015725.1_annotation.gtf.gz,4643639.0,NC_008825.1;NC_008826.1,2.0,bacteria
GCF_003208035.1,Streptomyces_actuosus,1885,Complete Genome,bacteria,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces,Streptomyces actuosus,False,/cs/usr/stavperez/sp/genomes_new/genomes_from_ncbi_unique_genus/GCF_003208035.1/GCF_003208035.1_genomic.fna.gz,/cs/usr/stavperez/sp/genomes_new/genomes_from_ncbi_unique_genus/GCF_003208035.1/GCF_003208035.1_annotation.gtf.gz,8145579.0,NZ_CP029788.1,1.0,bacteria
GCF_001887265.1,Chelatococcus_daeguensis,444444,Complete Genome,bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Chelatococcaceae,Chelatococcus,Chelatococcus daeguensis,False,/cs/usr/stavperez/sp/genomes_new/genomes_from_ncbi_unique_genus/GCF_001887265.1/GCF_001887265.1_genomic.fna.gz,/cs/usr/stavperez/sp/genomes_new/genomes_from_ncbi_unique_genus/GCF_001887265.1/GCF_001887265.1_annotation.gtf.gz,4095174.0,NZ_CP018095.1;NZ_CP018096.1,2.0,bacteria
GCF_001484065.1,Pannonibacter_phragmitetus,121719,Complete Genome,bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Stappiaceae,Pannonibacter,Pannonibacter phragmitetus,False,/cs/usr/stavperez/sp/genomes_new/genomes_from_ncbi_unique_genus/GCF_001484065.1/GCF_001484065.1_genomic.fna.gz,/cs/usr/stavperez/sp/genomes_new/genomes_from_ncbi_unique_genus/GCF_001484065.1/GCF_001484065.1_annotation.gtf.gz,5669701.0,NZ_CP013068.1;NZ_CP013069.1,2.0,bacteria
GCF_002586945.1,Faecalibacterium_prausnitzii,853,Complete Genome,bacteria,Bacillota,Clostridia,Eubacteriales,Oscillospiraceae,Faecalibacterium,Faecalibacterium prausnitzii,False,/cs/usr/stavperez/sp/genomes_new/genomes_from_ncbi_unique_genus/GCF_002586945.1/GCF_002586945.1_genomic.fna.gz,/cs/usr/stavperez/sp/genomes_new/genomes_from_ncbi_unique_genus/GCF_002586945.1/GCF_002586945.1_annotation.gtf.gz,2868932.0,NZ_CP023819.1,1.0,bacteria
GCF_013267415.1,Abiotrophia_defectiva,46125,Complete Genome,bacteria,Bacillota,Bacilli,Lactobacillales,Aerococcaceae,Abiotrophia,Abiotrophia defectiva,False,/cs/usr/stavperez/sp/genomes_new/genomes_from_ncbi_unique_genus/GCF_013267415.1/GCF_013267415.1_genomic.fna.gz,/cs/usr/stavperez/sp/genomes_new/genomes_from_ncbi_unique_genus/GCF_013267415.1/GCF_013267415.1_annotation.gtf.gz,2046826.0,NZ_CP053988.1,1.0,bacteria
GCF_038024855.1,Methylocella_tundrae,227605,Complete Genome,bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Beijerinckiaceae,Methylocella,Methylocella tundrae,False,/cs/usr/stavperez/sp/genomes_new/genomes_from_ncbi_unique_genus/GCF_038024855.1/GCF_038024855.1_genomic.fna.gz,/cs/usr/stavperez/sp/genomes_new/genomes_from_ncbi_unique_genus/GCF_038024855.1/GCF_038024855.1_annotation.gtf.gz,4422208.0,NZ_CP139089.1;NZ_CP139088.1;NZ_CP139087.1,3.0,bacteria
GCF_001456195.2,Xylella_fastidiosa,2371,Complete Genome,bacteria,Pseudomonadota,Gammaproteobacteria,Lysobacterales,Lysobacteraceae,Xylella,Xylella fastidiosa,False,/cs/usr/stavperez/sp/genomes_new/genomes_from_ncbi_unique_genus/GCF_001456195.2/GCF_001456195.2_genomic.fna.gz,/cs/usr/stavperez/sp/genomes_new/genomes_from_ncbi_unique_genus/GCF_001456195.2/GCF_001456195.2_annotation.gtf.gz,2748592.0,NZ_CP009829.2,1.0,bacteria
GCF_013340845.1,Hydrogenovibrio_marinus,28885,Complete Genome,bacteria,Pseudomonadota,Gammaproteobacteria,Thiotrichales,Piscirickettsiaceae,Hydrogenovibrio,Hydrogenovibrio marinus,False,/cs/usr/stavperez/sp/genomes_new/genomes_from_ncbi_unique_genus/GCF_013340845.1/GCF_013340845.1_genomic.fna.gz,/cs/usr/stavperez/sp/genomes_new/genomes_from_ncbi_unique_genus/GCF_013340845.1/GCF_013340845.1_annotation.gtf.gz,2491293.0,NZ_AP020335.1,1.0,bacteria
GCF_000661895.1,Rubrobacter_radiotolerans,42256,Complete Genome,bacteria,Actinomycetota,Rubrobacteria,Rubrobacterales,Rubrobacteraceae,Rubrobacter,Rubrobacter radiotolerans,False,/cs/usr/stavperez/sp/genomes_new/genomes_from_ncbi_unique_genus/GCF_000661895.1/GCF_000661895.1_genomic.fna.gz,/cs/usr/stavperez/sp/genomes_new/genomes_from_ncbi_unique_genus/GCF_000661895.1/GCF_000661895.1_annotation.gtf.gz,3267233.0,NZ_CP007514.1;NZ_CP007515.1;NZ_CP007516.1;NZ_CP007517.1,4.0,bacteria
GCF_014218335.1,Anaerocolumna_cellulosilytica,433286,Complete Genome,bacteria,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Anaerocolumna,Anaerocolumna cellulosilytica,False,/cs/usr/stavperez/sp/genomes_new/genomes_from_ncbi_unique_genus/GCF_014218335.1/GCF_014218335.1_genomic.fna.gz,/cs/usr/stavperez/sp/genomes_new/genomes_from_ncbi_unique_genus/GCF_014218335.1/GCF_014218335.1_annotation.gtf.gz,5430627.0,NZ_AP023367.1,1.0,bacteria
GCF_047114695.1,Nereida_ignava,282199,Chromosome,bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Roseobacteraceae,Nereida,Nereida ignava,False,/cs/usr/stavperez/sp/genomes_new/genomes_from_ncbi_unique_genus/GCF_047114695.1/GCF_047114695.1_genomic.fna.gz,/cs/usr/stavperez/sp/genomes_new/genomes_from_ncbi_unique_genus/GCF_047114695.1/GCF_047114695.1_annotation.gtf.gz,2553088.0,NZ_CP112885.1;NZ_CP112886.1,2.0,bacteria
GCF_049674955.1,Sphaerisporangium_viridialbum,46189,Complete Genome,bacteria,Actinomycetota,Actinomycetes,Streptosporangiales,Streptosporangiaceae,Sphaerisporangium,Sphaerisporangium viridialbum,False,/cs/usr/stavperez/sp/genomes_new/genomes_from_ncbi_unique_genus/GCF_049674955.1/GCF_049674955.1_genomic.fna.gz,/cs/usr/stavperez/sp/genomes_new/genomes_from_ncbi_unique_genus/GCF_049674955.1/GCF_049674955.1_annotation.gtf.gz,10001908.0,NZ_CP187232.1,1.0,bacteria
GCF_001718395.1,Burkholderia_cepacia,292,Complete Genome,bacteria,Pseudomonadota,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia,Burkholderia cepacia,False,/cs/usr/stavperez/sp/genomes_new/genomes_from_ncbi_unique_genus/GCF_001718395.1/GCF_001718395.1_genomic.fna.gz,/cs/usr/stavperez/sp/genomes_new/genomes_from_ncbi_unique_genus/GCF_001718395.1/GCF_001718395.1_annotation.gtf.gz,7337382.0,NZ_CP013375.1;NZ_CP013376.1,2.0,bacteria
GCF_010727125.1,Mycolicibacter_terrae,1788,Complete Genome,bacteria,Actinomycetota,Actinomycetes,Mycobacteriales,Mycobacteriaceae,Mycolicibacter,Mycolicibacter terrae,False,/cs/usr/stavperez/sp/genomes_new/genomes_from_ncbi_unique_genus/GCF_010727125.1/GCF_010727125.1_genomic.fna.gz,/cs/usr/stavperez/sp/genomes_new/genomes_from_ncbi_unique_genus/GCF_010727125.1/GCF_010727125.1_annotation.gtf.gz,4566186.0,NZ_AP022564.1,1.0,bacteria
GCF_002777195.1,Candidatus_Williamhamiltonella_defendens,138072,Chromosome,bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Candidatus Williamhamiltonella,Candidatus Williamhamiltonella defendens,False,/cs/usr/stavperez/sp/genomes_new/genomes_from_ncbi_unique_genus/GCF_002777195.1/GCF_002777195.1_genomic.fna.gz,/cs/usr/stavperez/sp/genomes_new/genomes_from_ncbi_unique_genus/GCF_002777195.1/GCF_002777195.1_annotation.gtf.gz,2204294.0,NZ_CP017606.1;NZ_CP017607.1;NZ_CP017608.1;NZ_CP017609.1,4.0,bacteria
GCF_001027225.1,Shigella_boydii,621,Complete Genome,bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Shigella,Shigella boydii,False,/cs/usr/stavperez/sp/genomes_new/genomes_from_ncbi_unique_genus/GCF_001027225.1/GCF_001027225.1_genomic.fna.gz,/cs/usr/stavperez/sp/genomes_new/genomes_from_ncbi_unique_genus/GCF_001027225.1/GCF_001027225.1_annotation.gtf.gz,4574246.0,NZ_CP011511.1,1.0,bacteria
GCF_001518835.1,Leclercia_adecarboxylata,83655,Complete Genome,bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Leclercia,Leclercia adecarboxylata,False,/cs/usr/stavperez/sp/genomes_new/genomes_from_ncbi_unique_genus/GCF_001518835.1/GCF_001518835.1_genomic.fna.gz,/cs/usr/stavperez/sp/genomes_new/genomes_from_ncbi_unique_genus/GCF_001518835.1/GCF_001518835.1_annotation.gtf.gz,4803917.0,NZ_CP013990.1,1.0,bacteria
GCF_048572945.1,Psychrobacillus_psychrotolerans,126156,Complete Genome,bacteria,Bacillota,Bacilli,Bacillales,Bacillaceae,Psychrobacillus,Psychrobacillus psychrotolerans,False,/cs/usr/stavperez/sp/genomes_new/genomes_from_ncbi_unique_genus/GCF_048572945.1/GCF_048572945.1_genomic.fna.gz,/cs/usr/stavperez/sp/genomes_new/genomes_from_ncbi_unique_genus/GCF_048572945.1/GCF_048572945.1_annotation.gtf.gz,3723914.0,NZ_CP183885.1,1.0,bacteria
